Language,Number of Documents,Size (GB)
am,3124561,1.0004819622263312
uz,5176271,0.9491039197891951
su,387322,0.08245807513594627
cy,7767408,1.066114792600274
mr,12232071,3.3263042448088527
te,17484093,5.463735970668495
ku,2719375,0.5158021124079823
mk,20209317,5.755121035501361
bn,57929082,10.10224581323564
ka,31708119,10.551269956864417
sk,174236545,31.95530293043703
el,200954802,57.29641096945852
th,318507542,85.23609864991158
az,41379968,8.328582626767457
lv,68418444,11.948996165767312
sl,74653572,14.159500708803535
he,207542919,40.87397038098425
ro,391186642,83.2870432632044
da,343692674,62.390291380696
ur,27951610,6.971196994185448
si,12643262,4.265797791071236
yo,76533,0.007433013059198856
sw,12660806,2.1486976919695735
ug,1564913,0.43320988211780787
jv,1416729,0.20494341384619474
ne,12732810,4.324568641372025
ms,77522478,11.732742255553603
bg,235459726,70.36573029216379
