Language,Number of Documents,Size (GB)
am,13906,0.03253857512027025
uz,246729,0.5657220501452684
su,61555,0.06321164313703775
cy,279455,0.3893815344199538
mr,94133,0.3202541274949908
te,87854,0.8805409641936421
ku,63076,0.06282829120755196
mk,139559,0.859320011921227
bn,143069,1.216782477684319
ka,169602,0.8753134170547128
sk,242235,0.6112438710406423
el,226834,1.846776869148016
th,159719,1.291245248168707
az,196158,0.6181441200897098
lv,123413,0.3324927194043994
sl,183006,0.6727087115868926
he,333874,2.7282018018886447
ro,442389,1.2240820713341236
da,295347,0.8146804310381413
ur,200154,0.5384345762431622
si,23065,0.17977838404476643
yo,33819,0.02602382842451334
sw,78587,0.10156582668423653
ug,8634,0.05587564688175917
bo,12881,0.15979228913784027
mt,5743,0.04721447825431824
jv,73380,0.10210910998284817
ne,32885,0.13651449140161276
ms,368628,0.5899943634867668
bg,294275,1.5047178445383906
