Language	F1-Score
amh_Ethi	0.3874
azj_Latn	0.4427
ben_Beng	0.5055
bod_Tibt	0.0194
bul_Cyrl	0.5833
ckb_Arab	0.3810
cym_Latn	0.4247
dan_Latn	0.5217
ell_Grek	0.6027
heb_Hebr	0.5109
jav_Latn	0.2105
kat_Geor	0.4368
lvs_Latn	0.5376
mar_Deva	0.5109
mlt_Latn	0.5055
mkd_Cyrl	0.6075
npi_Deva	0.5271
ron_Latn	0.5480
sin_Sinh	0.6263
slk_Latn	0.5271
slv_Latn	0.4776
sun_Latn	0.2026
swh_Latn	0.4662
tel_Telu	0.5000
tha_Thai	0.4945
uig_Arab	0.4604
urd_Arab	0.6579
uzn_Latn	0.3482
yor_Latn	0.1622
zsm_Latn	0.5583

Average	0.4582
