language,average_pseudo_perplexity
am,274.4810802644805
uz,55.08024591663885
su,241.685493907558
cy,171.90564917500697
mr,76.65817214271512
te,78.38845961143763
ku,150.3036268531586
mk,104.83899672924765
bn,76.07178981436289
ka,60.96285399697782
sk,119.70609807765722
el,59.627201966302614
th,58.21236231097531
az,84.61681609060703
lv,116.94385793236958
sl,44.9614049529313
he,155.34128183193442
ro,140.9541952367499
da,185.44813693198373
ur,172.15033401017428
si,197.20791426869053
yo,70.18640807412798
sw,255.253237629043
ug,344.66141087951667
bo,297.5260728387279
mt,191.02976812464976
jv,162.30371411587296
ne,117.44748800790443
ms,183.37540785697726
bg,65.05316163435268
