language,average_pseudo_perplexity
am,346.3580670605617
uz,112.62385461406899
su,128.43592534739417
cy,77.14861849849976
mr,84.1431433581435
te,96.51690653557112
ku,163.05164527138078
mk,150.59769084744565
bn,93.31165635174828
ka,74.35117064410456
sk,143.3948120540898
el,70.46336464282587
th,72.6683663200204
az,101.52605825427905
lv,127.24336985109451
sl,125.31221782549487
he,191.29366217458758
ro,150.27467299770743
da,77.15347487041988
ur,208.85204739843448
si,252.98365161933435
yo,83.08269656716017
sw,217.81750647433498
ug,475.5467384571499
bo,264.7790924761751
mt,82.61132682362735
jv,91.0525424774448
ne,161.19486870811983
ms,213.14564217329877
bg,88.2050624030701
