language,average_pseudo_perplexity
am,312.7178459214432
uz,58.51309879178918
su,135.03193929042607
cy,88.03564926599746
mr,91.0221410596969
te,101.90526869783163
ku,183.30053020083875
mk,73.5442094326865
bn,98.76638425569787
ka,77.4016272568146
sk,153.66153297764086
el,75.3885562733417
th,74.1362326204412
az,117.89203049790963
lv,152.602739802196
sl,143.42175145618234
he,186.91394201591515
ro,193.0230057048099
da,79.00841812263639
ur,242.3274156145945
si,271.77908745075655
yo,92.60405723095046
sw,239.03427298680305
ug,541.7405171981086
bo,236.66554301128875
mt,89.9869793048626
jv,93.88015783373724
ne,166.47438959314422
ms,224.34911283862405
bg,110.611129809759
