language_code,average_pseudo_perplexity
am,122.70524436432157
uz,45.43529464444973
su,26.343232203340918
cy,72.34818358633834
mr,71.69704823203672
te,94.1582140366219
ku,93.49679416685626
mk,153.48076395139418
bn,76.42087582141359
ka,60.87281845652278
sk,53.96197718699052
el,40.019261932165314
th,40.53075014311518
az,73.13620845377115
lv,98.77997072674144
sl,42.280731269438384
he,74.98927057856504
ro,55.478701926845815
da,44.78159682065779
ur,132.53987638327493
si,58.75495795019959
yo,61.20418455651128
sw,63.025921153469845
ug,346.4712388069914
bo,11.909116409298262
mt,56.75665125802626
jv,35.75038368982394
ne,189.7632001716904
ms,59.036363232002785
bg,47.475836395657666
