Language,Documents,Size (GB)
th,318507542,85.23609864991158
ro,391186642,83.2870432632044
bg,235459726,70.36573029216379
da,343692674,62.390291380696
el,200954802,57.29641096945852
he,207542919,40.87397038098425
sk,174236545,31.95530293043703
sl,74653572,14.159500708803536
lv,68418444,11.948996165767312
ms,77522478,11.732742255553603
ka,31708119,10.551269956864417
bn,57929082,10.10224581323564
az,41379968,8.328582626767457
ur,27951610,6.971196994185448
mk,20209317,5.755121035501361
te,17484093,5.463735970668495
ne,12732810,4.324568641372025
si,12643262,4.265797791071236
mr,12232071,3.3263042448088527
sw,12660806,2.148697691969573
cy,7767408,1.066114792600274
am,3124561,1.0004819622263312
uz,5176271,0.9491039197891952
ku,2719375,0.5158021124079823
ug,1564913,0.4332098821178078
jv,1416729,0.2049434138461947
su,387322,0.0824580751359462
yo,76533,0.0074330130591988
